chr	start	end	name	gieStain
A1	1	125478	A1-1	gneg
A1	125478	22125985	A1-2	acen
A1	22125985	37718439	A1-3	gpos75
A2	1	5623569	A2-1	gpos25
A2	5623569	17458965	A2-2	stalk
A2	17458965	31611734	A2-3	gpos50
A3	1	15245896	A3-1	gpos75
A3	15245896	40564783	A3-2	gvar
A4	1	1547859	A4-1	gneg
A4	1547859	20125489	A4-2	gvar
A4	20125489	24012569	A4-3	gpos25
A4	24012569	26049113	A4-4	stalk
A5	1	20145896	A5-1	gvar
A5	20145896	25124569	A5-2	gneg
A5	25124569	26258963	A5-3	acen
A5	26258963	27458963	A5-4	gpos50
A5	27458963	35698541	A5-5	gpos75
A5	35698541	40125698	A5-6	gpos50
A5	40125698	45217253	A5-7	gpos75
A6	1	25123654	A6-1	gpos25
A6	25123654	35125698	A6-2	gpos75
A6	35125698	54099293	A6-3	gpos25
A7	1	15123456	A7-1	stalk
A7	15123456	19458652	A7-2	gvar
A7	19458652	20112547	A7-3	gneg
A7	2012547	22766400	A7-4	acen
A8	1	15325695	A8-1	gpos50
A8	15325695	17456985	A8-2	gpos75
A8	17456985	18125478	A8-3	gpos25
A8	18125478	22325698	A8-4	stalk
A8	22325698	27456321	A8-5	gvar
A8	27456321	29265719	A8-6	gpos25
A9	1	15123456	A9-1	stalk
A9	15123456	20123456	A9-2	gvar
A9	20123456	30123456	A9-3	gneg
A9	30123456	40123456	A9-4	acen
A9	40123456	45120125	A9-5	gpos50
A9	45120125	50124569	A9-6	gpos75
A9	50124569	62871001	A9-7	gpos50
A10	1	12124582	A10-1	gpos75
A10	12124582	13245698	A10-2	gpos25
A10	13245698	14563258	A10-3	stalk
A10	14563258	15338199	A10-4	gvar
